,year,state,district,chloride,sdp,intercept,gini,region
0,2000,westbengal,24paraganasnorth,78.411766,247972.31111561856,1,0.38,eastern_region
1,2001,westbengal,24paraganasnorth,,265880.32837131777,1,0.38,eastern_region
2,2002,westbengal,24paraganasnorth,98.555557,275199.53359278664,1,0.38,eastern_region
3,2003,westbengal,24paraganasnorth,,291369.5209867059,1,0.38,eastern_region
4,2004,westbengal,24paraganasnorth,71.666664,310686.6999675226,1,0.38,eastern_region
5,2005,westbengal,24paraganasnorth,54.861111,330248.80030542583,1,0.38,eastern_region
6,2006,westbengal,24paraganasnorth,,356170.8313006164,1,0.38,eastern_region
7,2007,westbengal,24paraganasnorth,134.625,383881.4906091932,1,0.38,eastern_region
8,2008,westbengal,24paraganasnorth,60.0,399354.5969692363,1,0.38,eastern_region
9,2009,westbengal,24paraganasnorth,,430366.20743387047,1,0.38,eastern_region
10,2010,westbengal,24paraganasnorth,,456461.5424521131,1,0.38,eastern_region
11,2011,westbengal,24paraganasnorth,,473205.0,1,0.38,eastern_region
12,2012,westbengal,24paraganasnorth,,492901.0,1,0.38,eastern_region
13,2013,westbengal,24paraganasnorth,,503952.0,1,0.38,eastern_region
14,2014,westbengal,24paraganasnorth,,515702.0,1,0.38,eastern_region
15,2015,westbengal,24paraganasnorth,,546988.0,1,0.38,eastern_region
16,2016,westbengal,24paraganasnorth,100.2,584911.0,1,0.38,eastern_region
17,2017,westbengal,24paraganasnorth,78.07692,623787.0,1,0.38,eastern_region
18,2018,westbengal,24paraganasnorth,75.126717,659288.0,1,0.38,eastern_region
19,2000,westbengal,24paraganassouth,189.64516,247972.31111561856,1,0.29,eastern_region
20,2001,westbengal,24paraganassouth,169.94737,265880.32837131777,1,0.29,eastern_region
21,2002,westbengal,24paraganassouth,226.64706,275199.53359278664,1,0.29,eastern_region
22,2003,westbengal,24paraganassouth,,291369.5209867059,1,0.29,eastern_region
23,2004,westbengal,24paraganassouth,286.90909,310686.6999675226,1,0.29,eastern_region
24,2005,westbengal,24paraganassouth,213.74286,330248.80030542583,1,0.29,eastern_region
25,2006,westbengal,24paraganassouth,,356170.8313006164,1,0.29,eastern_region
26,2007,westbengal,24paraganassouth,193.5,383881.4906091932,1,0.29,eastern_region
27,2008,westbengal,24paraganassouth,,399354.5969692363,1,0.29,eastern_region
28,2009,westbengal,24paraganassouth,257.65714,430366.20743387047,1,0.29,eastern_region
29,2010,westbengal,24paraganassouth,296.625,456461.5424521131,1,0.29,eastern_region
30,2011,westbengal,24paraganassouth,352.92001,473205.0,1,0.29,eastern_region
31,2012,westbengal,24paraganassouth,263.30768,492901.0,1,0.29,eastern_region
32,2013,westbengal,24paraganassouth,177.96364,503952.0,1,0.29,eastern_region
33,2014,westbengal,24paraganassouth,,515702.0,1,0.29,eastern_region
34,2015,westbengal,24paraganassouth,,546988.0,1,0.29,eastern_region
35,2016,westbengal,24paraganassouth,255.11429,584911.0,1,0.29,eastern_region
36,2017,westbengal,24paraganassouth,276.57407,623787.0,1,0.29,eastern_region
37,2018,westbengal,24paraganassouth,293.66,659288.0,1,0.29,eastern_region
38,2000,telangana,adilabad,76.699997,,1,0.37,southern_region
39,2001,telangana,adilabad,53.714287,,1,0.37,southern_region
40,2002,telangana,adilabad,65.845711,,1,0.37,southern_region
41,2003,telangana,adilabad,,,1,0.37,southern_region
42,2004,telangana,adilabad,65.5,161790.06689829516,1,0.37,southern_region
43,2005,telangana,adilabad,68.25,187774.5444577278,1,0.37,southern_region
44,2006,telangana,adilabad,76.727272,208477.0974396334,1,0.37,southern_region
45,2007,telangana,adilabad,80.5,229691.84931694492,1,0.37,southern_region
46,2008,telangana,adilabad,164.58333,260994.6924820364,1,0.37,southern_region
47,2009,telangana,adilabad,145.25,261701.24352747787,1,0.37,southern_region
48,2010,telangana,adilabad,118.36364,307973.2512484278,1,0.37,southern_region
49,2011,telangana,adilabad,141.72728,325139.0,1,0.37,southern_region
50,2012,telangana,adilabad,55.666668,334205.0,1,0.37,southern_region
51,2013,telangana,adilabad,96.63636,349593.0,1,0.37,southern_region
52,2014,telangana,adilabad,102.72727,372897.0,1,0.37,southern_region
53,2015,telangana,adilabad,124.66666,416892.0,1,0.37,southern_region
54,2016,telangana,adilabad,145.375,455731.0,1,0.37,southern_region
55,2017,telangana,adilabad,134.16667,498145.0,1,0.37,southern_region
56,2018,telangana,adilabad,78.0,544441.0,1,0.37,southern_region
57,2000,uttarpradesh,agra,799.5,351083.83971582167,1,0.26,central_region
58,2000,uttarpradesh,agra,799.5,351083.83971582167,1,0.26,central_region
59,2000,uttarpradesh,agra,799.5,351083.83971582167,1,0.26,central_region
60,2000,uttarpradesh,agra,799.5,351083.83971582167,1,0.26,central_region
61,2001,uttarpradesh,agra,,357470.77254969825,1,0.26,central_region
62,2001,uttarpradesh,agra,,357470.77254969825,1,0.26,central_region
63,2001,uttarpradesh,agra,,357470.77254969825,1,0.26,central_region
64,2001,uttarpradesh,agra,,357470.77254969825,1,0.26,central_region
65,2002,uttarpradesh,agra,263.25,369037.9006500751,1,0.26,central_region
66,2002,uttarpradesh,agra,263.25,369037.9006500751,1,0.26,central_region
67,2002,uttarpradesh,agra,263.25,369037.9006500751,1,0.26,central_region
68,2002,uttarpradesh,agra,263.25,369037.9006500751,1,0.26,central_region
69,2003,uttarpradesh,agra,,388468.5695531362,1,0.26,central_region
70,2003,uttarpradesh,agra,,388468.5695531362,1,0.26,central_region
71,2003,uttarpradesh,agra,,388468.5695531362,1,0.26,central_region
72,2003,uttarpradesh,agra,,388468.5695531362,1,0.26,central_region
73,2004,uttarpradesh,agra,598.40002,407921.1791392405,1,0.26,central_region
74,2004,uttarpradesh,agra,598.40002,407921.1791392405,1,0.26,central_region
75,2004,uttarpradesh,agra,598.40002,407921.1791392405,1,0.26,central_region
76,2004,uttarpradesh,agra,598.40002,407921.1791392405,1,0.26,central_region
77,2005,uttarpradesh,agra,297.0,431731.25103797467,1,0.26,central_region
78,2005,uttarpradesh,agra,297.0,431731.25103797467,1,0.26,central_region
79,2005,uttarpradesh,agra,297.0,431731.25103797467,1,0.26,central_region
80,2005,uttarpradesh,agra,297.0,431731.25103797467,1,0.26,central_region
81,2006,uttarpradesh,agra,,466022.3453164557,1,0.26,central_region
82,2006,uttarpradesh,agra,,466022.3453164557,1,0.26,central_region
83,2006,uttarpradesh,agra,,466022.3453164557,1,0.26,central_region
84,2006,uttarpradesh,agra,,466022.3453164557,1,0.26,central_region
85,2007,uttarpradesh,agra,,495890.4340253165,1,0.26,central_region
86,2007,uttarpradesh,agra,,495890.4340253165,1,0.26,central_region
87,2007,uttarpradesh,agra,,495890.4340253165,1,0.26,central_region
88,2007,uttarpradesh,agra,,495890.4340253165,1,0.26,central_region
89,2008,uttarpradesh,agra,,533571.6164050633,1,0.26,central_region
90,2008,uttarpradesh,agra,,533571.6164050633,1,0.26,central_region
91,2008,uttarpradesh,agra,,533571.6164050633,1,0.26,central_region
92,2008,uttarpradesh,agra,,533571.6164050633,1,0.26,central_region
93,2009,uttarpradesh,agra,,566760.9320506329,1,0.26,central_region
94,2009,uttarpradesh,agra,,566760.9320506329,1,0.26,central_region
95,2009,uttarpradesh,agra,,566760.9320506329,1,0.26,central_region
96,2009,uttarpradesh,agra,,566760.9320506329,1,0.26,central_region
97,2010,uttarpradesh,agra,,612018.6082025316,1,0.26,central_region
98,2010,uttarpradesh,agra,,612018.6082025316,1,0.26,central_region
99,2010,uttarpradesh,agra,,612018.6082025316,1,0.26,central_region
100,2010,uttarpradesh,agra,,612018.6082025316,1,0.26,central_region
101,2011,uttarpradesh,agra,,645132.0,1,0.26,central_region
102,2011,uttarpradesh,agra,,645132.0,1,0.26,central_region
103,2011,uttarpradesh,agra,,645132.0,1,0.26,central_region
104,2011,uttarpradesh,agra,,645132.0,1,0.26,central_region
105,2012,uttarpradesh,agra,,673552.0,1,0.26,central_region
106,2012,uttarpradesh,agra,,673552.0,1,0.26,central_region
107,2012,uttarpradesh,agra,,673552.0,1,0.26,central_region
108,2012,uttarpradesh,agra,,673552.0,1,0.26,central_region
109,2013,uttarpradesh,agra,,707469.0,1,0.26,central_region
110,2013,uttarpradesh,agra,,707469.0,1,0.26,central_region
111,2013,uttarpradesh,agra,,707469.0,1,0.26,central_region
112,2013,uttarpradesh,agra,,707469.0,1,0.26,central_region
113,2014,uttarpradesh,agra,,729686.0,1,0.26,central_region
114,2014,uttarpradesh,agra,,729686.0,1,0.26,central_region
115,2014,uttarpradesh,agra,,729686.0,1,0.26,central_region
116,2014,uttarpradesh,agra,,729686.0,1,0.26,central_region
117,2015,uttarpradesh,agra,,792049.0,1,0.26,central_region
118,2015,uttarpradesh,agra,,792049.0,1,0.26,central_region
119,2015,uttarpradesh,agra,,792049.0,1,0.26,central_region
120,2015,uttarpradesh,agra,,792049.0,1,0.26,central_region
121,2016,uttarpradesh,agra,202.93871,888453.0,1,0.26,central_region
122,2016,uttarpradesh,agra,202.93871,888453.0,1,0.26,central_region
123,2016,uttarpradesh,agra,202.93871,888453.0,1,0.26,central_region
124,2016,uttarpradesh,agra,202.93871,888453.0,1,0.26,central_region
125,2017,uttarpradesh,agra,,922458.0,1,0.26,central_region
126,2017,uttarpradesh,agra,,922458.0,1,0.26,central_region
127,2017,uttarpradesh,agra,,922458.0,1,0.26,central_region
128,2017,uttarpradesh,agra,,922458.0,1,0.26,central_region
129,2018,uttarpradesh,agra,220.233,949184.0,1,0.26,central_region
130,2018,uttarpradesh,agra,220.233,949184.0,1,0.26,central_region
131,2018,uttarpradesh,agra,220.233,949184.0,1,0.26,central_region
132,2018,uttarpradesh,agra,220.233,949184.0,1,0.26,central_region
133,2000,gujarat,ahmadabad,784.0,187486.0647190792,1,0.33,western_region
134,2001,gujarat,ahmadabad,868.09998,202722.52060396783,1,0.33,western_region
135,2002,gujarat,ahmadabad,1258.3077,220397.15650232672,1,0.33,western_region
136,2003,gujarat,ahmadabad,,257104.347060995,1,0.33,western_region
137,2004,gujarat,ahmadabad,1417.1,272449.2629108957,1,0.33,western_region
138,2005,gujarat,ahmadabad,732.66669,311996.4362722108,1,0.33,western_region
139,2006,gujarat,ahmadabad,578.08331,338383.36050177214,1,0.33,western_region
140,2007,gujarat,ahmadabad,1115.5,378395.5156254638,1,0.33,western_region
141,2008,gujarat,ahmadabad,1135.3,394570.23835956375,1,0.33,western_region
142,2009,gujarat,ahmadabad,1090.7,450323.76586738543,1,0.33,western_region
143,2010,gujarat,ahmadabad,1359.4546,499605.5063968227,1,0.33,western_region
144,2011,gujarat,ahmadabad,1004.5333,532809.0,1,0.33,western_region
145,2012,gujarat,ahmadabad,1095.8889,596659.0,1,0.33,western_region
146,2013,gujarat,ahmadabad,985.83331,641489.0,1,0.33,western_region
147,2014,gujarat,ahmadabad,1050.9091,705629.0,1,0.33,western_region
148,2015,gujarat,ahmadabad,967.90002,774775.0,1,0.33,western_region
149,2016,gujarat,ahmadabad,587.40002,843930.0,1,0.33,western_region
150,2017,gujarat,ahmadabad,1041.7,946511.0,1,0.33,western_region
151,2018,gujarat,ahmadabad,465.375,1034399.0,1,0.33,western_region
152,2000,maharashtra,ahmednagar,171.44827,462182.04589375335,1,0.24,western_region
153,2001,maharashtra,ahmednagar,188.39999,478508.99779191246,1,0.24,western_region
154,2002,maharashtra,ahmednagar,173.89999,511507.574365965,1,0.24,western_region
155,2003,maharashtra,ahmednagar,,551013.221724762,1,0.24,western_region
156,2004,maharashtra,ahmednagar,163.70589,599028.1154943785,1,0.24,western_region
157,2005,maharashtra,ahmednagar,228.27777,685815.41856348,1,0.24,western_region
158,2006,maharashtra,ahmednagar,186.42693,780279.5182740722,1,0.24,western_region
159,2007,maharashtra,ahmednagar,218.72707,871096.2491881064,1,0.24,western_region
160,2008,maharashtra,ahmednagar,233.78659,884779.143581586,1,0.24,western_region
161,2009,maharashtra,ahmednagar,214.52499,970264.8556553776,1,0.24,western_region
162,2010,maharashtra,ahmednagar,,1080814.2888602451,1,0.24,western_region
163,2011,maharashtra,ahmednagar,,1126595.0,1,0.24,western_region
164,2012,maharashtra,ahmednagar,185.47826,1189711.0,1,0.24,western_region
165,2013,maharashtra,ahmednagar,248.16667,1267551.0,1,0.24,western_region
166,2014,maharashtra,ahmednagar,179.86667,1345341.0,1,0.24,western_region
167,2015,maharashtra,ahmednagar,140.47368,1452513.0,1,0.24,western_region
168,2016,maharashtra,ahmednagar,127.46667,1596121.0,1,0.24,western_region
169,2017,maharashtra,ahmednagar,134.20111,1661065.0,1,0.24,western_region
170,2018,maharashtra,ahmednagar,136.76103,1728578.0,1,0.24,western_region
171,2000,rajasthan,ajmer,896.89288,174261.4982756208,1,0.31,northern_region
172,2001,rajasthan,ajmer,626.48389,194105.2216453936,1,0.31,northern_region
173,2002,rajasthan,ajmer,698.40912,170786.6612538214,1,0.31,northern_region
174,2003,rajasthan,ajmer,,225128.6442802708,1,0.31,northern_region
175,2004,rajasthan,ajmer,502.17242,219623.783673409,1,0.31,northern_region
176,2005,rajasthan,ajmer,246.81818,234376.38095379013,1,0.31,northern_region
177,2006,rajasthan,ajmer,325.66666,261962.91892931657,1,0.31,northern_region
178,2007,rajasthan,ajmer,946.81818,273897.97681369574,1,0.31,northern_region
179,2008,rajasthan,ajmer,508.0625,296931.6051077934,1,0.31,northern_region
180,2009,rajasthan,ajmer,664.34485,314236.5616057293,1,0.31,northern_region
181,2010,rajasthan,ajmer,375.45456,361436.6835150852,1,0.31,northern_region
182,2011,rajasthan,ajmer,668.5,395331.0,1,0.31,northern_region
183,2012,rajasthan,ajmer,604.88464,409802.0,1,0.31,northern_region
184,2013,rajasthan,ajmer,802.0,434292.0,1,0.31,northern_region
185,2014,rajasthan,ajmer,407.4762,465408.0,1,0.31,northern_region
186,2015,rajasthan,ajmer,689.44446,501922.0,1,0.31,northern_region
187,2016,rajasthan,ajmer,703.0,529650.0,1,0.31,northern_region
188,2017,rajasthan,ajmer,674.5,557618.0,1,0.31,northern_region
189,2018,rajasthan,ajmer,669.94739,568102.0,1,0.31,northern_region
190,2000,maharashtra,akola,403.59091,462182.04589375335,1,0.25,western_region
191,2001,maharashtra,akola,264.85715,478508.99779191246,1,0.25,western_region
192,2002,maharashtra,akola,152.0,511507.574365965,1,0.25,western_region
193,2003,maharashtra,akola,,551013.221724762,1,0.25,western_region
194,2004,maharashtra,akola,169.3158,599028.1154943785,1,0.25,western_region
195,2005,maharashtra,akola,318.36365,685815.41856348,1,0.25,western_region
196,2006,maharashtra,akola,200.69231,780279.5182740722,1,0.25,western_region
197,2007,maharashtra,akola,371.01233,871096.2491881064,1,0.25,western_region
198,2008,maharashtra,akola,238.95938,884779.143581586,1,0.25,western_region
199,2009,maharashtra,akola,162.61539,970264.8556553776,1,0.25,western_region
200,2010,maharashtra,akola,,1080814.2888602451,1,0.25,western_region
201,2011,maharashtra,akola,,1126595.0,1,0.25,western_region
202,2012,maharashtra,akola,,1189711.0,1,0.25,western_region
203,2013,maharashtra,akola,205.61539,1267551.0,1,0.25,western_region
204,2014,maharashtra,akola,196.1579,1345341.0,1,0.25,western_region
205,2015,maharashtra,akola,129.92857,1452513.0,1,0.25,western_region
206,2016,maharashtra,akola,104.42857,1596121.0,1,0.25,western_region
207,2017,maharashtra,akola,120.88449,1661065.0,1,0.25,western_region
208,2018,maharashtra,akola,158.04053,1728578.0,1,0.25,western_region
209,2000,kerala,alappuzha,41.060001,147973.5597433169,1,0.32,southern_region
210,2001,kerala,alappuzha,58.163158,155366.47487904064,1,0.32,southern_region
211,2002,kerala,alappuzha,42.055557,166734.581417683,1,0.32,southern_region
212,2003,kerala,alappuzha,,177540.5159176877,1,0.32,southern_region
213,2004,kerala,alappuzha,51.48,194266.89820535283,1,0.32,southern_region
214,2005,kerala,alappuzha,40.433334,214150.4423028008,1,0.32,southern_region
215,2006,kerala,alappuzha,33.299999,231069.25430291385,1,0.32,southern_region
216,2007,kerala,alappuzha,35.278126,251690.7367210242,1,0.32,southern_region
217,2008,kerala,alappuzha,31.505882,267167.04617471667,1,0.32,southern_region
218,2009,kerala,alappuzha,40.791668,291324.3285363027,1,0.32,southern_region
219,2010,kerala,alappuzha,44.443245,309967.46877313964,1,0.32,southern_region
220,2011,kerala,alappuzha,32.094116,328021.0,1,0.32,southern_region
221,2012,kerala,alappuzha,54.7425,348616.0,1,0.32,southern_region
222,2013,kerala,alappuzha,44.029999,364707.0,1,0.32,southern_region
223,2014,kerala,alappuzha,24.086206,382134.0,1,0.32,southern_region
224,2015,kerala,alappuzha,26.492592,411150.0,1,0.32,southern_region
225,2016,kerala,alappuzha,29.068966,443615.0,1,0.32,southern_region
226,2017,kerala,alappuzha,41.299999,473182.0,1,0.32,southern_region
227,2018,kerala,alappuzha,41.353657,510787.0,1,0.32,southern_region
228,2000,uttarpradesh,aligarh,230.5,351083.83971582167,1,0.28,central_region
229,2001,uttarpradesh,aligarh,,357470.77254969825,1,0.28,central_region
230,2002,uttarpradesh,aligarh,133.28572,369037.9006500751,1,0.28,central_region
231,2003,uttarpradesh,aligarh,,388468.5695531362,1,0.28,central_region
232,2004,uttarpradesh,aligarh,663.59998,407921.1791392405,1,0.28,central_region
233,2005,uttarpradesh,aligarh,253.0,431731.25103797467,1,0.28,central_region
234,2006,uttarpradesh,aligarh,,466022.3453164557,1,0.28,central_region
235,2007,uttarpradesh,aligarh,,495890.4340253165,1,0.28,central_region
236,2008,uttarpradesh,aligarh,,533571.6164050633,1,0.28,central_region
237,2009,uttarpradesh,aligarh,,566760.9320506329,1,0.28,central_region
238,2010,uttarpradesh,aligarh,,612018.6082025316,1,0.28,central_region
239,2011,uttarpradesh,aligarh,,645132.0,1,0.28,central_region
240,2012,uttarpradesh,aligarh,,673552.0,1,0.28,central_region
241,2013,uttarpradesh,aligarh,,707469.0,1,0.28,central_region
242,2014,uttarpradesh,aligarh,,729686.0,1,0.28,central_region
243,2015,uttarpradesh,aligarh,,792049.0,1,0.28,central_region
244,2016,uttarpradesh,aligarh,135.88667,888453.0,1,0.28,central_region
245,2017,uttarpradesh,aligarh,,922458.0,1,0.28,central_region
246,2018,uttarpradesh,aligarh,219.78999,949184.0,1,0.28,central_region
247,2000,westbengal,alipurduar,41.75,247972.31111561856,1,0.22,eastern_region
248,2001,westbengal,alipurduar,21.6,265880.32837131777,1,0.22,eastern_region
249,2002,westbengal,alipurduar,25.200001,275199.53359278664,1,0.22,eastern_region
250,2003,westbengal,alipurduar,,291369.5209867059,1,0.22,eastern_region
251,2004,westbengal,alipurduar,43.833332,310686.6999675226,1,0.22,eastern_region
252,2005,westbengal,alipurduar,30.5,330248.80030542583,1,0.22,eastern_region
253,2006,westbengal,alipurduar,32.0,356170.8313006164,1,0.22,eastern_region
254,2007,westbengal,alipurduar,,383881.4906091932,1,0.22,eastern_region
255,2008,westbengal,alipurduar,27.525,399354.5969692363,1,0.22,eastern_region
256,2009,westbengal,alipurduar,27.299999,430366.20743387047,1,0.22,eastern_region
257,2010,westbengal,alipurduar,,456461.5424521131,1,0.22,eastern_region
258,2011,westbengal,alipurduar,32.0,473205.0,1,0.22,eastern_region
259,2012,westbengal,alipurduar,20.666666,492901.0,1,0.22,eastern_region
260,2013,westbengal,alipurduar,55.333332,503952.0,1,0.22,eastern_region
261,2014,westbengal,alipurduar,,515702.0,1,0.22,eastern_region
262,2015,westbengal,alipurduar,,546988.0,1,0.22,eastern_region
263,2016,westbengal,alipurduar,55.888889,584911.0,1,0.22,eastern_region
264,2017,westbengal,alipurduar,30.0,623787.0,1,0.22,eastern_region
265,2018,westbengal,alipurduar,39.993752,659288.0,1,0.22,eastern_region
266,2000,madhyapradesh,alirajpur,197.0,142623.92245088037,1,0.32,central_region
267,2001,madhyapradesh,alirajpur,253.71428,152826.6075400632,1,0.32,central_region
268,2002,madhyapradesh,alirajpur,157.66667,144856.76138662823,1,0.32,central_region
269,2003,madhyapradesh,alirajpur,,161106.27345013304,1,0.32,central_region
270,2004,madhyapradesh,alirajpur,133.14285,166392.43950471698,1,0.32,central_region
271,2005,madhyapradesh,alirajpur,,174775.328567217,1,0.32,central_region
272,2006,madhyapradesh,alirajpur,191.44444,190708.6450176887,1,0.32,central_region
273,2007,madhyapradesh,alirajpur,205.72728,199720.8751061321,1,0.32,central_region
274,2008,madhyapradesh,alirajpur,80.333336,224971.1026179245,1,0.32,central_region
275,2009,madhyapradesh,alirajpur,138.0,246297.10579599056,1,0.32,central_region
276,2010,madhyapradesh,alirajpur,113.11111,259230.23037146227,1,0.32,central_region
277,2011,madhyapradesh,alirajpur,81.166664,282371.0,1,0.32,central_region
278,2012,madhyapradesh,alirajpur,134.66667,306853.0,1,0.32,central_region
279,2013,madhyapradesh,alirajpur,201.25,322598.0,1,0.32,central_region
280,2014,madhyapradesh,alirajpur,137.27272,339247.0,1,0.32,central_region
281,2015,madhyapradesh,alirajpur,81.0,370716.0,1,0.32,central_region
282,2016,madhyapradesh,alirajpur,154.7,419465.0,1,0.32,central_region
283,2017,madhyapradesh,alirajpur,145.41667,441956.0,1,0.32,central_region
284,2018,madhyapradesh,alirajpur,108.2,482361.0,1,0.32,central_region
285,2000,uttarakhand,almora,,30800.418529264123,1,0.27,northern_region
286,2001,uttarakhand,almora,,32261.8594656789,1,0.27,northern_region
287,2002,uttarakhand,almora,,35282.66032922301,1,0.27,northern_region
288,2003,uttarakhand,almora,,38073.35156458789,1,0.27,northern_region
289,2004,uttarakhand,almora,,43081.90793963752,1,0.27,northern_region
290,2005,uttarakhand,almora,,49190.07507393645,1,0.27,northern_region
291,2006,uttarakhand,almora,,55116.54356563282,1,0.27,northern_region
292,2007,uttarakhand,almora,,64750.43755213468,1,0.27,northern_region
293,2008,uttarakhand,almora,14.0,71643.38818533404,1,0.27,northern_region
294,2009,uttarakhand,almora,28.0,83904.18063244104,1,0.27,northern_region
295,2010,uttarakhand,almora,,92718.49776294836,1,0.27,northern_region
296,2011,uttarakhand,almora,,101960.0,1,0.27,northern_region
297,2012,uttarakhand,almora,14.0,109528.0,1,0.27,northern_region
298,2013,uttarakhand,almora,,117778.0,1,0.27,northern_region
299,2014,uttarakhand,almora,,125702.0,1,0.27,northern_region
300,2015,uttarakhand,almora,,136144.0,1,0.27,northern_region
301,2016,uttarakhand,almora,21.165001,150303.0,1,0.27,northern_region
302,2017,uttarakhand,almora,,162205.0,1,0.27,northern_region
303,2018,uttarakhand,almora,,166519.0,1,0.27,northern_region
304,2000,rajasthan,alwar,367.40909,174261.4982756208,1,0.39,northern_region
305,2001,rajasthan,alwar,362.93939,194105.2216453936,1,0.39,northern_region
306,2002,rajasthan,alwar,359.61292,170786.6612538214,1,0.39,northern_region
307,2003,rajasthan,alwar,,225128.6442802708,1,0.39,northern_region
308,2004,rajasthan,alwar,344.6857,219623.783673409,1,0.39,northern_region
309,2005,rajasthan,alwar,331.82352,234376.38095379013,1,0.39,northern_region
310,2006,rajasthan,alwar,181.90909,261962.91892931657,1,0.39,northern_region
311,2007,rajasthan,alwar,130.25,273897.97681369574,1,0.39,northern_region
312,2008,rajasthan,alwar,205.41667,296931.6051077934,1,0.39,northern_region
313,2009,rajasthan,alwar,396.48386,314236.5616057293,1,0.39,northern_region
314,2010,rajasthan,alwar,386.83334,361436.6835150852,1,0.39,northern_region
315,2011,rajasthan,alwar,476.92593,395331.0,1,0.39,northern_region
316,2012,rajasthan,alwar,225.7037,409802.0,1,0.39,northern_region
317,2013,rajasthan,alwar,396.46155,434292.0,1,0.39,northern_region
318,2014,rajasthan,alwar,302.58823,465408.0,1,0.39,northern_region
319,2015,rajasthan,alwar,438.79999,501922.0,1,0.39,northern_region
320,2016,rajasthan,alwar,312.61365,529650.0,1,0.39,northern_region
321,2017,rajasthan,alwar,261.13333,557618.0,1,0.39,northern_region
322,2018,rajasthan,alwar,262.77777,568102.0,1,0.39,northern_region
323,2000,haryana,ambala,129.30588,108122.61080440917,1,0.37,northern_region
324,2001,haryana,ambala,98.0,116473.59577669726,1,0.37,northern_region
325,2002,haryana,ambala,128.52632,123614.0477018113,1,0.37,northern_region
326,2003,haryana,ambala,,135774.40240296876,1,0.37,northern_region
327,2004,haryana,ambala,253.8,147481.865369694,1,0.37,northern_region
328,2005,haryana,ambala,218.58333,160804.87167161863,1,0.37,northern_region
329,2006,haryana,ambala,170.63637,179088.29885884066,1,0.37,northern_region
330,2007,haryana,ambala,191.53999,193107.4745746674,1,0.37,northern_region
331,2008,haryana,ambala,196.7,207975.053310876,1,0.37,northern_region
332,2009,haryana,ambala,166.0625,233960.81678999265,1,0.37,northern_region
333,2010,haryana,ambala,256.78571,249822.19019322115,1,0.37,northern_region
334,2011,haryana,ambala,159.42857,271152.0,1,0.37,northern_region
335,2012,haryana,ambala,118.93571,289756.0,1,0.37,northern_region
336,2013,haryana,ambala,104.23572,314931.0,1,0.37,northern_region
337,2014,haryana,ambala,230.84616,333359.0,1,0.37,northern_region
338,2015,haryana,ambala,165.0,372700.0,1,0.37,northern_region
339,2016,haryana,ambala,127.28333,412055.0,1,0.37,northern_region
340,2017,haryana,ambala,183.86667,434407.0,1,0.37,northern_region
341,2018,haryana,ambala,113.93737,470328.0,1,0.37,northern_region
342,2000,uttarpradesh,ambedkarnagar,46.0,351083.83971582167,1,0.22,central_region
343,2001,uttarpradesh,ambedkarnagar,52.666668,357470.77254969825,1,0.22,central_region
344,2002,uttarpradesh,ambedkarnagar,54.0,369037.9006500751,1,0.22,central_region
345,2003,uttarpradesh,ambedkarnagar,,388468.5695531362,1,0.22,central_region
346,2004,uttarpradesh,ambedkarnagar,53.75,407921.1791392405,1,0.22,central_region
347,2005,uttarpradesh,ambedkarnagar,,431731.25103797467,1,0.22,central_region
348,2006,uttarpradesh,ambedkarnagar,,466022.3453164557,1,0.22,central_region
349,2007,uttarpradesh,ambedkarnagar,,495890.4340253165,1,0.22,central_region
350,2008,uttarpradesh,ambedkarnagar,,533571.6164050633,1,0.22,central_region
351,2009,uttarpradesh,ambedkarnagar,,566760.9320506329,1,0.22,central_region
352,2010,uttarpradesh,ambedkarnagar,,612018.6082025316,1,0.22,central_region
353,2011,uttarpradesh,ambedkarnagar,,645132.0,1,0.22,central_region
354,2012,uttarpradesh,ambedkarnagar,,673552.0,1,0.22,central_region
355,2013,uttarpradesh,ambedkarnagar,,707469.0,1,0.22,central_region
356,2014,uttarpradesh,ambedkarnagar,,729686.0,1,0.22,central_region
357,2015,uttarpradesh,ambedkarnagar,,792049.0,1,0.22,central_region
358,2016,uttarpradesh,ambedkarnagar,43.599998,888453.0,1,0.22,central_region
359,2017,uttarpradesh,ambedkarnagar,,922458.0,1,0.22,central_region
360,2018,uttarpradesh,ambedkarnagar,30.171999,949184.0,1,0.22,central_region
361,2000,maharashtra,amravati,209.59822,462182.04589375335,1,0.29,western_region
362,2001,maharashtra,amravati,184.95653,478508.99779191246,1,0.29,western_region
363,2002,maharashtra,amravati,128.04878,511507.574365965,1,0.29,western_region
364,2003,maharashtra,amravati,,551013.221724762,1,0.29,western_region
365,2004,maharashtra,amravati,144.34042,599028.1154943785,1,0.29,western_region
366,2005,maharashtra,amravati,152.00922,685815.41856348,1,0.29,western_region
367,2006,maharashtra,amravati,153.69925,780279.5182740722,1,0.29,western_region
368,2007,maharashtra,amravati,153.88641,871096.2491881064,1,0.29,western_region
369,2008,maharashtra,amravati,169.71793,884779.143581586,1,0.29,western_region
370,2009,maharashtra,amravati,183.95454,970264.8556553776,1,0.29,western_region
371,2010,maharashtra,amravati,,1080814.2888602451,1,0.29,western_region
372,2011,maharashtra,amravati,,1126595.0,1,0.29,western_region
373,2012,maharashtra,amravati,96.666664,1189711.0,1,0.29,western_region
374,2013,maharashtra,amravati,122.88095,1267551.0,1,0.29,western_region
375,2014,maharashtra,amravati,133.28709,1345341.0,1,0.29,western_region
