,district,ginivalue
284,ashoknagar,0.18
285,chhatarpur,0.23
286,mandsaur,0.21
287,tikamgarh,0.19
288,dewas,0.34
289,ujjain,0.35
290,shajapur,0.25
291,neemuch,0.2
292,dhar,0.24
293,gwalior,0.33
294,alirajpur,0.32
295,shivpuri,0.27
296,hoshangabad,0.34
297,bhopal,0.46
298,guna,0.23
299,ratlam,0.21
300,datia,0.23
301,rajgarh,0.3
302,sehore,0.34
303,raisen,0.28
304,narsinghpur,0.33
305,harda,0.32
306,vidisha,0.26
307,jhabua,0.24
308,seoni,0.27
309,bhind,0.19
310,morena,0.26
311,sagar,0.26
312,anuppur,0.37
313,damoh,0.23
314,chhindwara,0.44
315,singrauli,0.3
316,jabalpur,0.4
317,shahdol,0.28
318,khargone,0.24
319,burhanpur,0.23
320,sheopur,0.28
321,katni,0.35
322,eastnimar,0.23
323,balaghat,0.27
324,barwani,0.24
325,dindori,0.22
326,rewa,0.26
327,mandla,0.23
328,umaria,0.25
329,sidhi,0.24
330,betul,0.33
331,satna,0.26
332,panna,0.24
333,madhyapradesh,0.35
334,mumbaisuburban,0.39
335,sindhudurg,0.21
336,satara,0.31
337,pune,0.37
338,sangli,0.24
339,wardha,0.24
340,kolhapur,0.21
341,osmanabad,0.25
342,jalna,0.18
343,nagpur,0.34
344,thane,0.37
345,raigad,0.35
346,solapur,0.28
347,nashik,0.3
348,ratnagiri,0.25
349,latur,0.24
350,ahmednagar,0.24
351,aurangabad,0.28
352,yavatmal,0.25
353,beed,0.24
354,dhule,0.24
355,gadchiroli,0.24
356,jalgaon,0.26
357,gondia,0.4
358,bhandara,0.24
359,hingoli,0.27
360,amravati,0.29
361,nandurbar,0.25
362,nanded,0.3
363,akola,0.25
364,washim,0.23
365,chandrapur,0.3
366,buldana,0.25
367,parbhani,0.25
368,mumbai,
369,maharashtra,0.37
370,tamenglong,0.15
371,imphaleast,0.18
372,churachandpur,0.25
373,ukhrul,0.16
374,imphalwest,0.21
375,chandel,0.24
376,bishnupur,0.14
377,thoubal,0.23
378,senapati,0.12
379,manipur,0.21
380,southgarohills,0.18
381,eastgarohills,0.17
382,eastkhasihills,0.25
383,westgarohills,0.2
384,westjaintiahills,0.18
385,eastjaintiahills,0.18
386,ribhoi,0.19
387,westkhasihills,0.19
388,meghalaya,0.22
389,aizawl,0.26
390,champhai,0.23
391,kolasib,0.25
392,lunglei,0.24
393,lawngtlai,0.25
394,mamit,0.26
395,serchhip,0.25
396,saiha,0.25
397,mizoram,0.27
398,mon,0.19
399,longleng,0.22
400,kohima,0.21
401,tuensang,0.2
402,peren,0.2
403,kiphire,0.19
404,phek,0.21
405,dimapur,0.24
406,mokokchung,0.18
407,zunheboto,0.2
408,wokha,0.23
409,nagaland,0.22
410,north,0.34
411,east,0.34
412,newdelhi,0.34
413,west,0.34
414,southwest,0.34
415,south,0.34
416,northwest,0.36
417,northeast,0.22
418,central,
419,delhi,0.34
420,dhenkanal,0.24
421,cuttack,0.29
422,kendrapara,0.21
423,angul,0.26
424,puri,0.22
425,khordha,0.4
426,jajpur,0.24
427,jagatsinghapur,0.24
428,bhadrak,0.19
429,jharsuguda,0.34
430,sambalpur,0.31
431,ganjam,0.27
432,bargarh,0.24
433,baleshwar,0.27
434,nayagarh,0.26
435,balangir,0.22
436,debagarh,0.29
437,kendujhar,0.3
438,gajapati,0.29
439,rayagada,0.24
440,sonepur,0.23
441,kandhamal,0.26
442,sundargarh,0.37
443,nuapada,0.17
444,kalahandi,0.24
445,boudh,0.19
446,mayurbhanj,0.25
447,koraput,0.33
448,nabarangpur,0.28
449,malkangiri,0.21
450,odisha,0.3
451,puducherry,0.32
452,yanam,0.32
453,mahe,0.32
454,karaikal,0.31
455,pondicherry,0.32
456,fatehgarhsahib,0.32
457,rupnagar,0.31
458,patiala,0.32
459,s.a.snagar,0.36
460,mansa,0.26
461,kapurthala,0.33
462,nawanshahr,0.29
463,hoshiarpur,0.26
464,gurdaspur,0.26
465,jalandhar,0.33
466,moga,0.27
467,tarntaran,0.31
468,faridkot,0.31
469,barnala,0.31
470,firozpur,0.3
471,sangrur,0.35
472,ludhiana,0.29
473,bathinda,0.32
474,muktsar,0.26
475,amritsar,0.3
476,punjab,0.31
477,jhunjhunu,0.23
478,jaipur,0.32
479,pali,0.2
480,sikar,0.26
481,hanumangarh,0.24
482,churu,0.21
483,jodhpur,0.37
484,dausa,0.22
485,tonk,0.29
486,ganganagar,0.25
487,bikaner,0.29
488,barmer,0.25
489,alwar,0.39
490,jalore,0.25
491,kota,0.28
492,nagaur,0.22
493,ajmer,0.31
494,bhilwara,0.24
495,rajsamand,0.24
496,jaisalmer,0.2
497,chittorgarh,0.3
498,sawaimadhopur,0.21
499,udaipur,0.28
500,bundi,0.24
501,jhalawar,0.2
502,karauli,0.23
503,baran,0.2
504,banswara,0.27
505,dhaulpur,0.25
506,sirohi,0.29
507,bharatpur,0.25
508,dungarpur,0.24
509,pratapgarh,
510,rajasthan,0.29
