,YEAR,andhrapradesh,arunachalpradesh,assam,bihar,goa,gujarat,haryana,himachalpradesh,jammukashmir,jharkhand,karnataka,kerala,madhyapradesh,chhattisgarh,maharashtra,manipur,meghalaya,mizoram,nagaland,orissa,punjab,rajasthan,sikkim,tamilnadu,tripura,uttarpradesh,uttarakhand,westbengal,andamannicobarislands,chandigarh,delhi,puducherry,telangana
13,2012,341335.0,10399,132518,236933.0,32453,596659,289756.0,64519.0,67316.0,149526.0,593192.0,348616.0,306853.0,148760,1189711,11515,18323.0,6836,11163,216301.0,251813.0,409802.0,9970.0,709343.0,18857.0,673552.0,109528.0,492901,3558,18305,334193.0,15507.0,334205.0
14,2013,360239.0,11226,138725,246915.0,27971,641489,314931.0,69398.0,70536.0,150609.0,646787.0,364707.0,322598.0,163494,1267551,12519,18397.0,7831,11923,233122.0,267515.0,434292.0,10590.0,750416.0,20623.0,707469.0,117778.0,503952,3811,19813,356528.0,17239.0,349593.0
15,2014,397064.0,13082,146425,255739.0,36042,705629,333359.0,74553.0,67154.0,170568.0,671283.0,382134.0,339247.0,165354,1345341,13615,17893.0,9960,12406,235931.0,278485.0,465408.0,11437.0,791915.0,24407.0,729686.0,125702.0,515702,4151,20353,387639.0,16055.0,372897.0
16,2015,446997.0,12889,167629,269200.0,41929,774775,372700.0,80563.0,80602.0,158231.0,749952.0,411150.0,370716.0,168879,1452513,14635,18330.0,10948,12600,253192.0,294895.0,501922.0,12484.0,862437.0,23745.0,792049.0,136144.0,546988,4483,22058,431730.0,17025.0,416892.0
17,2016,477566.0,13396,179632,289265.0,46371,843930,412055.0,88112.0,82636.0,176363.0,851394.0,443615.0,419465.0,187541,1596121,15201,19295.0,12029,13488,293348.0,315783.0,529650.0,13416.0,922084.0,27204.0,888453.0,150303.0,584911,5091,23842,461592.0,18284.0,455731.0
18,2017,526626.0,13923,195262,312605.0,47077,946511,434407.0,93525.0,87591.0,191573.0,915642.0,473182.0,441956.0,194073,1661065,16870,19964.0,13779,14178,316192.0,335057.0,557618.0,15204.0,1000308.0,29505.0,922458.0,162205.0,623787,5750,25289,487631.0,20024.0,498145.0
19,2018,558862.0,14897,204627,345545.0,47425,1034399,470328.0,99218.0,93072.0,208701.0,974815.0,510787.0,482361.0,209211,1728578,16193,20968.0,14116,15055,338339.0,353942.0,568102.0,15889.0,1071602.0,32703.0,949184.0,166519.0,659288,6108,26654,506332.0,23468.0,544441.0
20,2019,595658.0,17091,212315,359196.0,48509,1110179,507776.0,102613.0,90791.0,209913.0,1030357.0,521455.0,508146.0,220624,1782903,17756,21997.0,13050,15853,346106.0,367558.0,598550.0,16588.0,1099402.0,33695.0,980106.0,166351.0,697554,6430,27817,521994.0,23672.0,572736.0
21,2020,593869.0,16588,199646,344183.0,46421,1099259,480471.0,98132.0,87102.0,196467.0,1026875.0,472272.0,490238.0,215126,1653094,18230,20620.0,11781,15200,326253.0,352357.0,583645.0,16147.0,1094471.0,32615.0,910011.0,156792.0,706648,-,24422,496284.0,22816.0,537753.0
22,2021,661432.0,-,-,382274.0,-,-,527733.0,106004.0,97335.0,213681.0,1127480.0,506107.0,539180.0,-,-,-,22527.0,-,-,365116.0,376781.0,648142.0,17442.0,1181923.0,35395.0,948839.0,167487.0,-,-,-,548058.0,23666.0,599614.0
