,0
0,0.0
1,1.270149283203125
2,-48.086662240234375
3,-13.927566599609378
4,-14.095047068359378
5,1.0831375253906188
6,-4.266761287109382
7,-18.141761287109382
8,-4.096759365234384
9,89.74503750976561
10,63.37687344726561
11,33.05167813476561
12,-1.3721499902343908
13,-36.74171786132814
14,-85.10402254882814
15,-85.15871004882814
16,-88.06471590820314
17,-93.68085456445314
18,-103.33843225195315
19,-121.90178674414065
20,-117.73600046093753
21,-115.14544298437502
22,-111.35889434375002
23,-111.52637481250002
24,-115.57001121875003
25,-109.74230603125002
26,-123.61730603125002
27,-117.40563610937502
28,-135.56383923437502
29,-119.13200429687502
30,-118.45719960937502
31,-112.00102673437502
32,-121.52444160546877
33,-123.25038229296877
34,-123.30506979296877
35,-126.21107565234377
36,-118.83483630859376
37,-104.35281099609377
38,-114.39672148828126
39,-85.49607991483856
40,-118.39543734139586
41,-151.29479476795316
42,-184.19415219451048
43,-229.74483238591674
44,-197.305684436698
45,-254.67404281169797
46,-288.6921316320105
47,-264.841306436698
48,-270.09368680779176
49,-260.4465846202918
50,-251.72015165154178
51,-254.27703641716678
52,-269.5278450656043
53,-276.7017723390418
54,-271.42363513201053
55,-250.03398669451053
56,-273.5487952257605
57,-265.087735655448
58,-243.66597557048706
59,-222.24421548552613
60,-244.84187173552613
61,-267.4395279855261
62,-268.8760514230261
63,-270.3125748605261
64,-271.7578873605261
65,-273.2031998605261
66,-228.52351236052613
67,-183.84382486052613
68,-118.75247786052613
69,-53.66113086052613
70,-55.71191211052613
71,-57.76269336052613
72,-61.12792773552613
73,-64.49316211052613
74,-68.47167773552613
75,-72.45019336052613
76,-74.82128711052613
77,-77.19238086052613
78,-79.36669726677613
79,-81.54101367302613
80,-84.74853320427613
81,-87.95605273552613
82,-89.9839763195105
83,-92.01189990349488
84,-94.51580615349488
85,-97.01971240349488
86,-98.65204425163941
87,-100.28437609978394
88,-103.07343859978394
89,-105.86250109978394
90,-100.63725461540895
91,-95.41200813103396
92,-98.28810676384646
93,-101.16420539665896
94,-85.81861270915896
95,-70.47302002165895
96,-104.46923584197145
97,-104.16845459197145
98,-113.55884330290895
99,-113.96497123259645
100,-106.13567135759645
101,-157.14682177947145
102,-202.60149167009644
103,-184.32027569353392
104,-206.56661358415892
105,-184.16861553728393
106,-174.32135788103392
107,-177.59384963494017
108,-191.24507974431518
109,-205.70772622869018
110,-216.05213245769409
111,-228.0327008639441
112,-227.4101422701941
113,-217.0781110201941
114,-193.2647565280066
115,-187.73254473503783
116,-187.32423130535034
117,-174.32266722771362
118,-175.59406004997925
119,-171.17432859392454
120,-193.21745018279174
121,-200.76153626872923
122,-177.98843428044796
123,-157.76770057732296
124,-114.21707801872921
125,-114.43927650505734
126,-114.59964637810421
127,-85.79746880388547
128,-31.112732397635455
129,-13.668686325369833
130,-19.691696604666703
131,-0.6316682296667011
132,24.393275325020795
133,36.3244660437708
134,47.6542622937708
135,47.777706137520795
136,52.97469696955204
137,49.68172821955204
138,38.81618837384892
139,5.398574373848916
140,-5.849201344901083
141,16.427783655098914
142,20.556201623848914
143,11.191974623848914
144,20.334423217598918
145,40.06726790509892
146,33.204116576973924
147,65.7433813377161
148,58.882984462716095
149,91.51839446271609
150,188.0711288377161
151,195.7657318377161
152,221.51884468146608
153,248.28616347443483
154,238.93447890412233
155,241.63604798175905
156,240.36465515949342
157,221.7874796155481
158,217.64334502668092
159,178.56079694074342
160,201.41219892902467
161,222.16341963214967
162,198.32558219074343
163,198.1033837044153
164,197.94301383136843
165,155.26692740558718
166,175.1311468118372
167,215.21729588410284
168,258.05894460480596
169,264.53801697980595
170,296.53349053449347
171,326.03490225324344
172,329.46079969074344
173,340.7219309133997
174,342.75671935089974
175,342.75281310089974
176,356.05904354621225
177,355.9166962103968
178,366.0110016303187
179,379.6807408178187
180,382.4962036537562
181,387.4006802318812
182,391.65363873578747
183,396.2945289232875
184,408.762608977975
185,414.164813227975
186,416.23280073188124
187,427.84808886078747
188,443.1516739545375
189,454.6177882357875
190,457.8250409818812
191,435.64680306684215
192,413.04914681684215
193,411.61262337934215
194,410.16731087934215
195,418.84699837934215
196,450.89560937934215
197,448.84482812934215
198,445.47959375434215
199,441.50107812934215
200,439.12998437934215
201,436.95566797309215
202,433.74814844184215
203,431.7202248578578
204,429.2163186078578
205,427.58398675971324
206,424.79492425971324
207,403.33916774408823
208,400.46306911127573
209,397.3528737987757
210,384.03478908197883
211,371.27797555854136
212,350.17040719916633
213,350.00292673041633
214,330.4744443241663
215,338.0164365116663
216,363.1414365116663
217,334.3531064335413
218,337.79490330854134
219,329.99816724604136
220,299.67297193354136
221,285.9158098085414
222,276.54624193744763
223,304.85060124994766
224,304.79591374994766
225,301.88990789057266
226,278.7359902343227
227,283.4031995468227
228,263.2148450546352
229,303.12148567963516
230,361.6210728671351
231,401.71845095307265
232,398.58563845307265
233,447.8579584530727
234,378.9077631405727
235,395.40486347260395
236,412.007135472604
237,451.799345785104
238,500.667405785104
239,536.172558753854
240,559.3432740858852
241,602.5793840858853
242,655.7004778358853
243,678.8307193983853
244,691.0466273983853
245,703.4343155556119
246,736.9091690712369
247,732.6386612587369
248,718.8040054970181
249,711.0568131142056
250,703.6070450477994
251,686.6226700477994
252,673.9400528602994
253,653.2881973915494
254,645.6184471779263
255,622.3170326881802
256,627.6234291725552
257,610.5033119850552
258,591.9339760475552
259,575.939041965524
260,606.2589882545865
261,593.5874184303677
262,563.137284153024
263,535.3048866920865
264,530.8861821796353
265,530.7801335956509
266,526.3438542987759
267,518.9983265487759
268,495.0670253925259
269,480.5162172245572
270,477.2232484745572
271,463.63455262885407
272,434.6768306288541
273,439.5906719101041
274,421.1312989101041
275,403.9472168788541
276,374.23149187885406
277,371.3436364726041
278,359.5658961601041
279,332.5531738319791
280,344.5885785927213
281,310.8598337177213
282,303.3785867177213
283,284.7949570927213
284,242.35016709272128
285,236.94538193647128
286,180.5345349364713
287,181.3821911864713
288,205.37189104194005
289,198.10333635444005
290,261.75152971381505
291,279.5901297489713
292,270.69098274897135
293,245.83597767633952
294,224.99945223883952
295,197.51428378180827
296,198.15763227985514
297,198.06852095173014
298,178.60890691462077
299,149.44330910212076
300,138.31992257087077
301,119.06015694587077
302,85.40379988337077
303,102.40474622712077
304,65.74481542243326
305,72.3665765073942
306,91.1022522573942
307,89.6657288198942
308,88.2204163198942
309,114.9001038198942
310,105.8376038198942
311,103.7868225698942
312,100.4215881948942
313,96.4430725698942
314,94.0719788198942
315,91.8976624136442
316,88.6901428823942
317,86.66221929840982
318,84.15831304840982
319,82.52598120026529
320,79.73691870026529
321,100.85893918464029
322,97.98284055182779
323,92.6726442393278
324,86.93022003229655
325,101.49157546198404
326,101.64679953962076
327,100.37540671735513
328,73.47348617340981
329,81.64076858454263
330,94.03472049860513
331,114.60580348688637
332,136.11646219001136
333,135.90799674860511
334,135.685798262277
335,135.52542838923011
336,138.18267396344885
337,150.10550236969885
338,139.45439044196448
339,150.2103261626676
340,169.11797253766758
341,156.98876909235508
342,153.0643418111051
343,157.02464599079258
344,157.32542724079258
345,177.6553185298551
346,177.2491906001676
347,216.7784874751676
348,213.2911450532926
349,192.13409416266762
350,190.1676861392301
351,173.97540224860512
352,152.60929829548013
353,152.53806295173013
354,144.92171419782386
355,124.48912008844886
356,109.64186060407386
357,88.20135437506995
358,49.98663996881995
359,40.50393556256996
360,3.031088812569955
361,-0.2555546952425445
362,14.442004898507456
363,26.832629898507456
364,43.855292808663705
365,43.833747398507455
366,38.600737586007455
367,11.992388976632455
368,-14.216401085867545
369,4.022215414132454
370,29.44932417878089
371,79.19620387995278
372,69.78637381745278
373,69.67187186432778
374,67.05021398932779
375,58.618979598702786
376,72.68213197370278
377,90.18164369245278
378,90.68506554401529
379,105.91870812214029
380,101.23299715339029
381,95.05475923835122
382,84.45710298835122
383,83.02057955085122
384,81.57526705085122
385,102.25495455085122
386,93.19245455085122
387,91.14167330085122
388,87.77643892585122
389,83.79792330085122
390,81.42682955085122
391,79.25251314460122
392,76.04499361335122
393,74.01707002936685
394,71.51316377936685
395,69.88083193122232
396,67.09176943122232
397,99.41379091559732
398,96.53769228278482
399,138.92083297028483
400,90.25794914997233
401,90.55873039997233
402,60.70680168903483
403,60.30067375934733
404,51.82997063434733
405,39.041045212472326
406,4.46971032184733
407,-70.29669870159017
408,-96.04303659221517
409,-123.28948154534018
410,-155.53313388909018
411,-196.93895664299643
412,-228.03462875237142
413,-257.4972752367464
414,-295.0234974657503
415,-304.20406187200035
416,-341.9815052782503
417,-338.88024002825034
418,-370.23355353606286
