,year,state,district,chloride,sdp,ginivalue
0,2000,westbengal,24paraganasnorth,78.411766,151670.25274630595,
1,2001,westbengal,24paraganasnorth,,162623.54624563822,
2,2002,westbengal,24paraganasnorth,98.555557,168323.56252961702,
3,2003,westbengal,24paraganasnorth,,178213.80416146124,
4,2004,westbengal,24paraganasnorth,71.666664,310686.6999675226,
5,2005,westbengal,24paraganasnorth,54.861111,330248.80030542583,
6,2006,westbengal,24paraganasnorth,,356170.8313006164,
7,2007,westbengal,24paraganasnorth,134.625,383881.49060919316,
8,2008,westbengal,24paraganasnorth,60.0,399354.5969692363,
9,2009,westbengal,24paraganasnorth,,430366.20743387047,
10,2010,westbengal,24paraganasnorth,,456461.5424521131,
11,2011,westbengal,24paraganasnorth,,473205,
12,2012,westbengal,24paraganasnorth,,492901,
13,2013,westbengal,24paraganasnorth,,503952,
14,2014,westbengal,24paraganasnorth,,515702,
15,2015,westbengal,24paraganasnorth,,546988,
16,2016,westbengal,24paraganasnorth,100.2,584911,
17,2017,westbengal,24paraganasnorth,78.07692,623787,
18,2018,westbengal,24paraganasnorth,75.126717,659288,
19,2000,westbengal,24paraganassouth,189.64516,151670.25274630595,0.29
20,2001,westbengal,24paraganassouth,169.94737,162623.54624563822,0.29
21,2002,westbengal,24paraganassouth,226.64706,168323.56252961702,0.29
22,2003,westbengal,24paraganassouth,,178213.80416146124,0.29
23,2004,westbengal,24paraganassouth,286.90909,310686.6999675226,0.29
24,2005,westbengal,24paraganassouth,213.74286,330248.80030542583,0.29
25,2006,westbengal,24paraganassouth,,356170.8313006164,0.29
26,2007,westbengal,24paraganassouth,193.5,383881.49060919316,0.29
27,2008,westbengal,24paraganassouth,,399354.5969692363,0.29
28,2009,westbengal,24paraganassouth,257.65714,430366.20743387047,0.29
29,2010,westbengal,24paraganassouth,296.625,456461.5424521131,0.29
30,2011,westbengal,24paraganassouth,352.92001,473205,0.29
31,2012,westbengal,24paraganassouth,263.30768,492901,0.29
32,2013,westbengal,24paraganassouth,177.96364,503952,0.29
33,2014,westbengal,24paraganassouth,,515702,0.29
34,2015,westbengal,24paraganassouth,,546988,0.29
35,2016,westbengal,24paraganassouth,255.11429,584911,0.29
36,2017,westbengal,24paraganassouth,276.57407,623787,0.29
37,2018,westbengal,24paraganassouth,293.66,659288,0.29
38,2000,telangana,adilabad,76.699997,,0.37
39,2001,telangana,adilabad,53.714287,,0.37
40,2002,telangana,adilabad,65.845711,,0.37
41,2003,telangana,adilabad,,,0.37
42,2004,telangana,adilabad,65.5,161790.06689829516,0.37
43,2005,telangana,adilabad,68.25,187774.5444577278,0.37
44,2006,telangana,adilabad,76.727272,208477.0974396334,0.37
45,2007,telangana,adilabad,80.5,229691.84931694495,0.37
46,2008,telangana,adilabad,164.58333,260994.69248203636,0.37
47,2009,telangana,adilabad,145.25,261701.24352747787,0.37
48,2010,telangana,adilabad,118.36364,307973.2512484278,0.37
49,2011,telangana,adilabad,141.72728,325139.0,0.37
50,2012,telangana,adilabad,55.666668,334205.0,0.37
51,2013,telangana,adilabad,96.63636,349593.0,0.37
52,2014,telangana,adilabad,102.72727,372897.0,0.37
53,2015,telangana,adilabad,124.66666,416892.0,0.37
54,2016,telangana,adilabad,145.375,455731.0,0.37
55,2017,telangana,adilabad,134.16667,498145.0,0.37
56,2018,telangana,adilabad,78.0,544441.0,0.37
57,2000,uttarpradesh,agra,799.5,198838.77708154044,0.26
58,2000,uttarpradesh,agra,799.5,198838.77708154044,0.26
59,2001,uttarpradesh,agra,,202456.06096170397,0.26
60,2001,uttarpradesh,agra,,202456.06096170397,0.26
61,2002,uttarpradesh,agra,263.25,209007.1844987091,0.26
62,2002,uttarpradesh,agra,263.25,209007.1844987091,0.26
63,2003,uttarpradesh,agra,,220011.87912005163,0.26
64,2003,uttarpradesh,agra,,220011.87912005163,0.26
65,2004,uttarpradesh,agra,598.40002,407921.1791392405,0.26
66,2004,uttarpradesh,agra,598.40002,407921.1791392405,0.26
67,2005,uttarpradesh,agra,297.0,431731.25103797467,0.26
68,2005,uttarpradesh,agra,297.0,431731.25103797467,0.26
69,2006,uttarpradesh,agra,,466022.3453164557,0.26
70,2006,uttarpradesh,agra,,466022.3453164557,0.26
71,2007,uttarpradesh,agra,,495890.4340253165,0.26
72,2007,uttarpradesh,agra,,495890.4340253165,0.26
73,2008,uttarpradesh,agra,,533571.6164050633,0.26
74,2008,uttarpradesh,agra,,533571.6164050633,0.26
75,2009,uttarpradesh,agra,,566760.9320506329,0.26
76,2009,uttarpradesh,agra,,566760.9320506329,0.26
77,2010,uttarpradesh,agra,,612018.6082025316,0.26
78,2010,uttarpradesh,agra,,612018.6082025316,0.26
79,2011,uttarpradesh,agra,,645132.0,0.26
80,2011,uttarpradesh,agra,,645132.0,0.26
81,2012,uttarpradesh,agra,,673552.0,0.26
82,2012,uttarpradesh,agra,,673552.0,0.26
83,2013,uttarpradesh,agra,,707469.0,0.26
84,2013,uttarpradesh,agra,,707469.0,0.26
85,2014,uttarpradesh,agra,,729686.0,0.26
86,2014,uttarpradesh,agra,,729686.0,0.26
87,2015,uttarpradesh,agra,,792049.0,0.26
88,2015,uttarpradesh,agra,,792049.0,0.26
89,2016,uttarpradesh,agra,202.93871,888453.0,0.26
90,2016,uttarpradesh,agra,202.93871,888453.0,0.26
91,2017,uttarpradesh,agra,,922458.0,0.26
92,2017,uttarpradesh,agra,,922458.0,0.26
93,2018,uttarpradesh,agra,220.233,949184.0,0.26
94,2018,uttarpradesh,agra,220.233,949184.0,0.26
95,2000,gujarat,ahmadabad,784.0,118544.22579001426,0.33
96,2001,gujarat,ahmadabad,868.09998,128177.97574025272,0.33
97,2002,gujarat,ahmadabad,1258.3077,139353.34513013638,0.33
98,2003,gujarat,ahmadabad,,162562.67267255313,0.33
99,2004,gujarat,ahmadabad,1417.1,272449.2629108957,0.33
100,2005,gujarat,ahmadabad,732.66669,311996.4362722108,0.33
101,2006,gujarat,ahmadabad,578.08331,338383.36050177214,0.33
102,2007,gujarat,ahmadabad,1115.5,378395.5156254638,0.33
103,2008,gujarat,ahmadabad,1135.3,394570.23835956375,0.33
104,2009,gujarat,ahmadabad,1090.7,450323.76586738543,0.33
105,2010,gujarat,ahmadabad,1359.4546,499605.5063968227,0.33
106,2011,gujarat,ahmadabad,1004.5333,532809,0.33
107,2012,gujarat,ahmadabad,1095.8889,596659,0.33
108,2013,gujarat,ahmadabad,985.83331,641489,0.33
109,2014,gujarat,ahmadabad,1050.9091,705629,0.33
110,2015,gujarat,ahmadabad,967.90002,774775,0.33
111,2016,gujarat,ahmadabad,587.40002,843930,0.33
112,2017,gujarat,ahmadabad,1041.7,946511,0.33
113,2018,gujarat,ahmadabad,465.375,1034399,0.33
114,2000,maharashtra,ahmednagar,171.44827,285492.42138092796,0.24
115,2001,maharashtra,ahmednagar,188.39999,295577.6704133988,0.24
116,2002,maharashtra,ahmednagar,173.89999,315961.0747709448,0.24
117,2003,maharashtra,ahmednagar,,340363.9329582936,0.24
118,2004,maharashtra,ahmednagar,163.70589,599028.1154943785,0.24
119,2005,maharashtra,ahmednagar,228.27777,685815.41856348,0.24
120,2006,maharashtra,ahmednagar,186.42693,780279.5182740722,0.24
121,2007,maharashtra,ahmednagar,218.72707,871096.2491881064,0.24
122,2008,maharashtra,ahmednagar,233.78659,884779.143581586,0.24
123,2009,maharashtra,ahmednagar,214.52499,970264.8556553777,0.24
124,2010,maharashtra,ahmednagar,,1080814.2888602451,0.24
125,2011,maharashtra,ahmednagar,,1126595,0.24
126,2012,maharashtra,ahmednagar,185.47826,1189711,0.24
127,2013,maharashtra,ahmednagar,248.16667,1267551,0.24
128,2014,maharashtra,ahmednagar,179.86667,1345341,0.24
129,2015,maharashtra,ahmednagar,140.47368,1452513,0.24
130,2016,maharashtra,ahmednagar,127.46667,1596121,0.24
131,2017,maharashtra,ahmednagar,134.20111,1661065,0.24
132,2018,maharashtra,ahmednagar,136.76103,1728578,0.24
133,2000,rajasthan,ajmer,896.89288,89371.55071037647,0.31
134,2001,rajasthan,ajmer,626.48389,99548.5797556526,0.31
135,2002,rajasthan,ajmer,698.40912,87589.44980927635,0.31
136,2003,rajasthan,ajmer,,115459.2164519874,0.31
137,2004,rajasthan,ajmer,502.17242,219623.783673409,0.31
138,2005,rajasthan,ajmer,246.81818,234376.38095379013,0.31
139,2006,rajasthan,ajmer,325.66666,261962.91892931657,0.31
140,2007,rajasthan,ajmer,946.81818,273897.97681369574,0.31
141,2008,rajasthan,ajmer,508.0625,296931.6051077934,0.31
142,2009,rajasthan,ajmer,664.34485,314236.5616057293,0.31
143,2010,rajasthan,ajmer,375.45456,361436.6835150852,0.31
144,2011,rajasthan,ajmer,668.5,395331.0,0.31
145,2012,rajasthan,ajmer,604.88464,409802.0,0.31
146,2013,rajasthan,ajmer,802.0,434292.0,0.31
147,2014,rajasthan,ajmer,407.4762,465408.0,0.31
148,2015,rajasthan,ajmer,689.44446,501922.0,0.31
149,2016,rajasthan,ajmer,703.0,529650.0,0.31
150,2017,rajasthan,ajmer,674.5,557618.0,0.31
151,2018,rajasthan,ajmer,669.94739,568102.0,0.31
152,2000,maharashtra,akola,403.59091,285492.42138092796,0.25
153,2001,maharashtra,akola,264.85715,295577.6704133988,0.25
154,2002,maharashtra,akola,152.0,315961.0747709448,0.25
155,2003,maharashtra,akola,,340363.9329582936,0.25
156,2004,maharashtra,akola,169.3158,599028.1154943785,0.25
157,2005,maharashtra,akola,318.36365,685815.41856348,0.25
158,2006,maharashtra,akola,200.69231,780279.5182740722,0.25
159,2007,maharashtra,akola,371.01233,871096.2491881064,0.25
160,2008,maharashtra,akola,238.95938,884779.143581586,0.25
161,2009,maharashtra,akola,162.61539,970264.8556553777,0.25
162,2010,maharashtra,akola,,1080814.2888602451,0.25
163,2011,maharashtra,akola,,1126595,0.25
164,2012,maharashtra,akola,,1189711,0.25
165,2013,maharashtra,akola,205.61539,1267551,0.25
166,2014,maharashtra,akola,196.1579,1345341,0.25
167,2015,maharashtra,akola,129.92857,1452513,0.25
168,2016,maharashtra,akola,104.42857,1596121,0.25
169,2017,maharashtra,akola,120.88449,1661065,0.25
170,2018,maharashtra,akola,158.04053,1728578,0.25
171,2000,kerala,alappuzha,41.060001,79808.12911974816,0.32
172,2001,kerala,alappuzha,58.163158,83795.42743673568,0.32
173,2002,kerala,alappuzha,42.055557,89926.70734955807,0.32
174,2003,kerala,alappuzha,,95754.78513137184,0.32
175,2004,kerala,alappuzha,51.48,194266.89820535283,0.32
176,2005,kerala,alappuzha,40.433334,214150.4423028008,0.32
177,2006,kerala,alappuzha,33.299999,231069.25430291385,0.32
178,2007,kerala,alappuzha,35.278126,251690.7367210242,0.32
179,2008,kerala,alappuzha,31.505882,267167.04617471667,0.32
180,2009,kerala,alappuzha,40.791668,291324.3285363027,0.32
181,2010,kerala,alappuzha,44.443245,309967.46877313964,0.32
182,2011,kerala,alappuzha,32.094116,328021.0,0.32
183,2012,kerala,alappuzha,54.7425,348616.0,0.32
184,2013,kerala,alappuzha,44.029999,364707.0,0.32
185,2014,kerala,alappuzha,24.086206,382134.0,0.32
186,2015,kerala,alappuzha,26.492592,411150.0,0.32
187,2016,kerala,alappuzha,29.068966,443615.0,0.32
188,2017,kerala,alappuzha,41.299999,473182.0,0.32
189,2018,kerala,alappuzha,41.353657,510787.0,0.32
190,2000,uttarpradesh,aligarh,230.5,198838.77708154044,0.28
191,2001,uttarpradesh,aligarh,,202456.06096170397,0.28
192,2002,uttarpradesh,aligarh,133.28572,209007.1844987091,0.28
193,2003,uttarpradesh,aligarh,,220011.87912005163,0.28
194,2004,uttarpradesh,aligarh,663.59998,407921.1791392405,0.28
195,2005,uttarpradesh,aligarh,253.0,431731.25103797467,0.28
196,2006,uttarpradesh,aligarh,,466022.3453164557,0.28
197,2007,uttarpradesh,aligarh,,495890.4340253165,0.28
198,2008,uttarpradesh,aligarh,,533571.6164050633,0.28
199,2009,uttarpradesh,aligarh,,566760.9320506329,0.28
200,2010,uttarpradesh,aligarh,,612018.6082025316,0.28
201,2011,uttarpradesh,aligarh,,645132.0,0.28
202,2012,uttarpradesh,aligarh,,673552.0,0.28
203,2013,uttarpradesh,aligarh,,707469.0,0.28
204,2014,uttarpradesh,aligarh,,729686.0,0.28
205,2015,uttarpradesh,aligarh,,792049.0,0.28
206,2016,uttarpradesh,aligarh,135.88667,888453.0,0.28
207,2017,uttarpradesh,aligarh,,922458.0,0.28
208,2018,uttarpradesh,aligarh,219.78999,949184.0,0.28
209,2000,westbengal,alipurduar,41.75,151670.25274630595,
210,2001,westbengal,alipurduar,21.6,162623.54624563822,
211,2002,westbengal,alipurduar,25.200001,168323.56252961702,
212,2003,westbengal,alipurduar,,178213.80416146124,
213,2004,westbengal,alipurduar,43.833332,310686.6999675226,
214,2005,westbengal,alipurduar,30.5,330248.80030542583,
215,2006,westbengal,alipurduar,32.0,356170.8313006164,
216,2007,westbengal,alipurduar,,383881.49060919316,
217,2008,westbengal,alipurduar,27.525,399354.5969692363,
218,2009,westbengal,alipurduar,27.299999,430366.20743387047,
219,2010,westbengal,alipurduar,,456461.5424521131,
220,2011,westbengal,alipurduar,32.0,473205,
221,2012,westbengal,alipurduar,20.666666,492901,
222,2013,westbengal,alipurduar,55.333332,503952,
223,2014,westbengal,alipurduar,,515702,
224,2015,westbengal,alipurduar,,546988,
225,2016,westbengal,alipurduar,55.888889,584911,
226,2017,westbengal,alipurduar,30.0,623787,
227,2018,westbengal,alipurduar,39.993752,659288,
228,2000,madhyapradesh,alirajpur,197.0,85663.95716156869,0.32
229,2001,madhyapradesh,alirajpur,253.71428,91791.97806713408,0.32
230,2002,madhyapradesh,alirajpur,157.66667,87005.063307394,0.32
231,2003,madhyapradesh,alirajpur,,96764.9793255772,0.32
232,2004,madhyapradesh,alirajpur,133.14285,166392.43950471698,0.32
233,2005,madhyapradesh,alirajpur,,174775.328567217,0.32
234,2006,madhyapradesh,alirajpur,191.44444,190708.6450176887,0.32
235,2007,madhyapradesh,alirajpur,205.72728,199720.8751061321,0.32
236,2008,madhyapradesh,alirajpur,80.333336,224971.1026179245,0.32
237,2009,madhyapradesh,alirajpur,138.0,246297.10579599056,0.32
238,2010,madhyapradesh,alirajpur,113.11111,259230.23037146227,0.32
239,2011,madhyapradesh,alirajpur,81.166664,282371.0,0.32
240,2012,madhyapradesh,alirajpur,134.66667,306853.0,0.32
241,2013,madhyapradesh,alirajpur,201.25,322598.0,0.32
242,2014,madhyapradesh,alirajpur,137.27272,339247.0,0.32
243,2015,madhyapradesh,alirajpur,81.0,370716.0,0.32
244,2016,madhyapradesh,alirajpur,154.7,419465.0,0.32
245,2017,madhyapradesh,alirajpur,145.41667,441956.0,0.32
246,2018,madhyapradesh,alirajpur,108.2,482361.0,0.32
247,2000,uttarakhand,almora,,15934.292630263084,0.27
248,2001,uttarakhand,almora,,16690.35467924314,0.27
249,2002,uttarakhand,almora,,18253.136200920508,0.27
250,2003,uttarakhand,almora,,19696.87277686232,0.27
251,2004,uttarakhand,almora,,43081.90793963752,0.27
252,2005,uttarakhand,almora,,49190.07507393645,0.27
253,2006,uttarakhand,almora,,55116.54356563282,0.27
254,2007,uttarakhand,almora,,64750.43755213468,0.27
255,2008,uttarakhand,almora,14.0,71643.38818533404,0.27
256,2009,uttarakhand,almora,28.0,83904.18063244104,0.27
257,2010,uttarakhand,almora,,92718.49776294836,0.27
258,2011,uttarakhand,almora,,101960.0,0.27
259,2012,uttarakhand,almora,14.0,109528.0,0.27
260,2013,uttarakhand,almora,,117778.0,0.27
261,2014,uttarakhand,almora,,125702.0,0.27
262,2015,uttarakhand,almora,,136144.0,0.27
263,2016,uttarakhand,almora,21.165001,150303.0,0.27
264,2017,uttarakhand,almora,,162205.0,0.27
265,2018,uttarakhand,almora,,166519.0,0.27
266,2000,rajasthan,alwar,367.40909,89371.55071037647,0.39
267,2001,rajasthan,alwar,362.93939,99548.5797556526,0.39
268,2002,rajasthan,alwar,359.61292,87589.44980927635,0.39
269,2003,rajasthan,alwar,,115459.2164519874,0.39
270,2004,rajasthan,alwar,344.6857,219623.783673409,0.39
271,2005,rajasthan,alwar,331.82352,234376.38095379013,0.39
272,2006,rajasthan,alwar,181.90909,261962.91892931657,0.39
273,2007,rajasthan,alwar,130.25,273897.97681369574,0.39
274,2008,rajasthan,alwar,205.41667,296931.6051077934,0.39
275,2009,rajasthan,alwar,396.48386,314236.5616057293,0.39
276,2010,rajasthan,alwar,386.83334,361436.6835150852,0.39
277,2011,rajasthan,alwar,476.92593,395331.0,0.39
278,2012,rajasthan,alwar,225.7037,409802.0,0.39
279,2013,rajasthan,alwar,396.46155,434292.0,0.39
280,2014,rajasthan,alwar,302.58823,465408.0,0.39
281,2015,rajasthan,alwar,438.79999,501922.0,0.39
282,2016,rajasthan,alwar,312.61365,529650.0,0.39
283,2017,rajasthan,alwar,261.13333,557618.0,0.39
284,2018,rajasthan,alwar,262.77777,568102.0,0.39
285,2000,haryana,ambala,129.30588,63211.485191137646,0.37
286,2001,haryana,ambala,98.0,68093.70324876593,0.37
287,2002,haryana,ambala,128.52632,72268.21002181151,0.37
288,2003,haryana,ambala,,79377.49156239237,0.37
289,2004,haryana,ambala,253.8,147481.865369694,0.37
290,2005,haryana,ambala,218.58333,160804.87167161863,0.37
291,2006,haryana,ambala,170.63637,179088.29885884066,0.37
292,2007,haryana,ambala,191.53999,193107.4745746674,0.37
293,2008,haryana,ambala,196.7,207975.053310876,0.37
294,2009,haryana,ambala,166.0625,233960.81678999265,0.37
295,2010,haryana,ambala,256.78571,249822.19019322115,0.37
296,2011,haryana,ambala,159.42857,271152.0,0.37
297,2012,haryana,ambala,118.93571,289756.0,0.37
298,2013,haryana,ambala,104.23572,314931.0,0.37
299,2014,haryana,ambala,230.84616,333359.0,0.37
300,2015,haryana,ambala,165.0,372700.0,0.37
301,2016,haryana,ambala,127.28333,412055.0,0.37
302,2017,haryana,ambala,183.86667,434407.0,0.37
303,2018,haryana,ambala,113.93737,470328.0,0.37
304,2000,uttarpradesh,ambedkarnagar,46.0,198838.77708154044,0.22
305,2001,uttarpradesh,ambedkarnagar,52.666668,202456.06096170397,0.22
306,2002,uttarpradesh,ambedkarnagar,54.0,209007.1844987091,0.22
307,2003,uttarpradesh,ambedkarnagar,,220011.87912005163,0.22
308,2004,uttarpradesh,ambedkarnagar,53.75,407921.1791392405,0.22
309,2005,uttarpradesh,ambedkarnagar,,431731.25103797467,0.22
310,2006,uttarpradesh,ambedkarnagar,,466022.3453164557,0.22
311,2007,uttarpradesh,ambedkarnagar,,495890.4340253165,0.22
312,2008,uttarpradesh,ambedkarnagar,,533571.6164050633,0.22
313,2009,uttarpradesh,ambedkarnagar,,566760.9320506329,0.22
314,2010,uttarpradesh,ambedkarnagar,,612018.6082025316,0.22
315,2011,uttarpradesh,ambedkarnagar,,645132.0,0.22
316,2012,uttarpradesh,ambedkarnagar,,673552.0,0.22
317,2013,uttarpradesh,ambedkarnagar,,707469.0,0.22
318,2014,uttarpradesh,ambedkarnagar,,729686.0,0.22
319,2015,uttarpradesh,ambedkarnagar,,792049.0,0.22
320,2016,uttarpradesh,ambedkarnagar,43.599998,888453.0,0.22
321,2017,uttarpradesh,ambedkarnagar,,922458.0,0.22
322,2018,uttarpradesh,ambedkarnagar,30.171999,949184.0,0.22
323,2000,maharashtra,amravati,209.59822,285492.42138092796,0.29
324,2001,maharashtra,amravati,184.95653,295577.6704133988,0.29
325,2002,maharashtra,amravati,128.04878,315961.0747709448,0.29
326,2003,maharashtra,amravati,,340363.9329582936,0.29
327,2004,maharashtra,amravati,144.34042,599028.1154943785,0.29
328,2005,maharashtra,amravati,152.00922,685815.41856348,0.29
329,2006,maharashtra,amravati,153.69925,780279.5182740722,0.29
330,2007,maharashtra,amravati,153.88641,871096.2491881064,0.29
331,2008,maharashtra,amravati,169.71793,884779.143581586,0.29
332,2009,maharashtra,amravati,183.95454,970264.8556553777,0.29
333,2010,maharashtra,amravati,,1080814.2888602451,0.29
334,2011,maharashtra,amravati,,1126595,0.29
335,2012,maharashtra,amravati,96.666664,1189711,0.29
336,2013,maharashtra,amravati,122.88095,1267551,0.29
337,2014,maharashtra,amravati,133.28709,1345341,0.29
338,2015,maharashtra,amravati,122.46,1452513,0.29
339,2016,maharashtra,amravati,122.57143,1596121,0.29
340,2017,maharashtra,amravati,143.4007,1661065,0.29
341,2018,maharashtra,amravati,71.875305,1728578,0.29
342,2000,gujarat,amreli,579.13043,118544.22579001426,0.19
343,2001,gujarat,amreli,765.75,128177.97574025272,0.19
344,2002,gujarat,amreli,1171.1818,139353.34513013638,0.19
345,2003,gujarat,amreli,,162562.67267255313,0.19
346,2004,gujarat,amreli,439.1875,272449.2629108957,0.19
347,2005,gujarat,amreli,820.46429,311996.4362722108,0.19
348,2006,gujarat,amreli,467.66666,338383.36050177214,0.19
349,2007,gujarat,amreli,526.45715,378395.5156254638,0.19
350,2008,gujarat,amreli,479.2973,394570.23835956375,0.19
351,2009,gujarat,amreli,327.30768,450323.76586738543,0.19
352,2010,gujarat,amreli,455.82758,499605.5063968227,0.19
353,2011,gujarat,amreli,339.73685,532809,0.19
354,2012,gujarat,amreli,373.83871,596659,0.19
355,2013,gujarat,amreli,432.23077,641489,0.19
356,2014,gujarat,amreli,372.88571,705629,0.19
357,2015,gujarat,amreli,199.07317,774775,0.19
358,2016,gujarat,amreli,375.13159,843930,0.19
359,2017,gujarat,amreli,410.26828,946511,0.19
360,2018,gujarat,amreli,311.54999,1034399,0.19
361,2000,punjab,amritsar,53.169998,74939.23947814347,0.3
362,2001,punjab,amritsar,28.0,75915.54217697385,0.3
363,2002,punjab,amritsar,37.621429,77208.57977323764,0.3
364,2003,punjab,amritsar,,82029.59334316062,0.3
365,2004,punjab,amritsar,23.92,150374.55025659368,0.3
366,2005,punjab,amritsar,29.200001,157747.6323300751,0.3
367,2006,punjab,amritsar,34.599998,174760.55643236218,0.3
368,2007,punjab,amritsar,67.714287,189894.4098783096,0.3
369,2008,punjab,amritsar,37.174999,200421.3967894764,0.3
370,2009,punjab,amritsar,62.783333,213223.87539693547,0.3
371,2010,punjab,amritsar,46.666668,226995.577251856,0.3
372,2011,punjab,amritsar,66.599998,239227.0,0.3
373,2012,punjab,amritsar,43.444443,251813.0,0.3
374,2013,punjab,amritsar,51.0,267515.0,0.3
375,2014,punjab,amritsar,61.777779,278485.0,0.3
376,2015,punjab,amritsar,54.777779,294895.0,0.3
377,2016,punjab,amritsar,55.68182,315783.0,0.3
378,2017,punjab,amritsar,48.200001,335057.0,0.3
379,2018,punjab,amritsar,65.583336,353942.0,0.3
380,2000,uttarpradesh,amroha,25.0,198838.77708154044,0.24
381,2001,uttarpradesh,amroha,17.5,202456.06096170397,0.24
382,2002,uttarpradesh,amroha,,209007.1844987091,0.24
383,2003,uttarpradesh,amroha,,220011.87912005163,0.24
384,2004,uttarpradesh,amroha,85.0,407921.1791392405,0.24
385,2005,uttarpradesh,amroha,,431731.25103797467,0.24
386,2006,uttarpradesh,amroha,,466022.3453164557,0.24
387,2007,uttarpradesh,amroha,,495890.4340253165,0.24
388,2008,uttarpradesh,amroha,,533571.6164050633,0.24
389,2009,uttarpradesh,amroha,,566760.9320506329,0.24
390,2010,uttarpradesh,amroha,,612018.6082025316,0.24
391,2011,uttarpradesh,amroha,,645132.0,0.24
392,2012,uttarpradesh,amroha,,673552.0,0.24
393,2013,uttarpradesh,amroha,,707469.0,0.24
394,2014,uttarpradesh,amroha,,729686.0,0.24
395,2015,uttarpradesh,amroha,,792049.0,0.24
396,2016,uttarpradesh,amroha,108.66666,888453.0,0.24
397,2017,uttarpradesh,amroha,,922458.0,0.24
398,2018,uttarpradesh,amroha,115.96667,949184.0,0.24
399,2000,gujarat,anand,270.22223,118544.22579001426,0.21
400,2001,gujarat,anand,762.16669,128177.97574025272,0.21
401,2002,gujarat,anand,449.0,139353.34513013638,0.21
402,2003,gujarat,anand,,162562.67267255313,0.21
403,2004,gujarat,anand,324.25,272449.2629108957,0.21
404,2005,gujarat,anand,684.22223,311996.4362722108,0.21
405,2006,gujarat,anand,264.60001,338383.36050177214,0.21
406,2007,gujarat,anand,418.0,378395.5156254638,0.21
407,2008,gujarat,anand,461.5,394570.23835956375,0.21
408,2009,gujarat,anand,395.33334,450323.76586738543,0.21
409,2010,gujarat,anand,245.75,499605.5063968227,0.21
410,2011,gujarat,anand,509.5,532809,0.21
411,2012,gujarat,anand,393.44446,596659,0.21
412,2013,gujarat,anand,304.60001,641489,0.21
413,2014,gujarat,anand,341.125,705629,0.21
414,2015,gujarat,anand,271.73334,774775,0.21
415,2016,gujarat,anand,296.70001,843930,0.21
416,2017,gujarat,anand,273.23077,946511,0.21
417,2018,gujarat,anand,338.0,1034399,0.21
418,2000,andhrapradesh,anantapur,263.62857,96394.37340121224,0.27
419,2001,andhrapradesh,anantapur,248.588,100765.3326108598,0.27
420,2002,andhrapradesh,anantapur,250.7048,103059.03456531875,0.27
421,2003,andhrapradesh,anantapur,,113155.45320513628,0.27
422,2004,andhrapradesh,anantapur,353.38889,215455.8737901584,0.27
423,2005,andhrapradesh,anantapur,439.72726,227457.9878258872,0.27
424,2006,andhrapradesh,anantapur,287.09091,251348.62002359648,0.27
425,2007,andhrapradesh,anantapur,243.85185,282693.9814360441,0.27
426,2008,andhrapradesh,anantapur,339.73077,289919.74396775843,0.27
427,2009,andhrapradesh,anantapur,242.73914,309550.5308999029,0.27
428,2010,andhrapradesh,anantapur,215.26923,330210.7804378922,0.27
429,2011,andhrapradesh,anantapur,253.91667,339996.0,0.27
430,2012,andhrapradesh,anantapur,171.83333,341335.0,0.27
431,2013,andhrapradesh,anantapur,214.375,360239.0,0.27
432,2014,andhrapradesh,anantapur,254.16667,397064.0,0.27
433,2015,andhrapradesh,anantapur,272.44446,446997.0,0.27
434,2016,andhrapradesh,anantapur,332.80646,477566.0,0.27
435,2017,andhrapradesh,anantapur,307.43478,526626.0,0.27
436,2018,andhrapradesh,anantapur,278.0,558862.0,0.27
437,2000,jammuandkashmir,anantnag,,19623.146921726497,0.17
438,2001,jammuandkashmir,anantnag,,20001.03032871239,0.17
439,2002,jammuandkashmir,anantnag,,21019.05950723409,0.17
440,2003,jammuandkashmir,anantnag,36.0,22099.12924511169,0.17
441,2004,jammuandkashmir,anantnag,,44760.52215357458,0.17
442,2005,jammuandkashmir,anantnag,,46834.049691085616,0.17
443,2006,jammuandkashmir,anantnag,,49568.64624889674,0.17
444,2007,jammuandkashmir,anantnag,,52629.93389232127,0.17
445,2008,jammuandkashmir,anantnag,,55925.67043248014,0.17
446,2009,jammuandkashmir,anantnag,,58635.28473080318,0.17
447,2010,jammuandkashmir,anantnag,,61986.75092674316,0.17
448,2011,jammuandkashmir,anantnag,,65319.0,0.17
449,2012,jammuandkashmir,anantnag,14.0,67316.0,0.17
450,2013,jammuandkashmir,anantnag,36.0,70536.0,0.17
451,2014,jammuandkashmir,anantnag,53.0,67154.0,0.17
452,2015,jammuandkashmir,anantnag,10.4,80602.0,0.17
453,2016,jammuandkashmir,anantnag,46.0,82636.0,0.17
454,2017,jammuandkashmir,anantnag,,87591.0,0.17
455,2018,jammuandkashmir,anantnag,,93072.0,0.17
456,2000,madhyapradesh,anuppur,,85663.95716156869,0.37
457,2001,madhyapradesh,anuppur,32.23077,91791.97806713408,0.37
458,2002,madhyapradesh,anuppur,43.384617,87005.063307394,0.37
459,2003,madhyapradesh,anuppur,,96764.9793255772,0.37
460,2004,madhyapradesh,anuppur,56.222221,166392.43950471698,0.37
461,2005,madhyapradesh,anuppur,40.700001,174775.328567217,0.37
462,2006,madhyapradesh,anuppur,38.700001,190708.6450176887,0.37
